estacion,Ciudad,Pais,url,Comentarios
Rochester,New york,United States,https://aqicn.org/city/usa/newyork/rochester/ ,"update O3/Fresh Kills west, wihout pm10"
Newark,New Jersey,United States,https://aqicn.org/city/usa/newjersey/newark-firehouse/,without SO2
worcester summer,Massachusetts,United States,https://aqicn.org/city/usa/massachusett/worcester/summer-st/,without SO2
Visalia,California,United States,https://aqicn.org/city/california/tulare/visalia/,without SO2
Harrisburg,Pennsylvania,United States,https://aqicn.org/city/usa/pennsylvania/harrisburg/,without SO2
New Haven,Connecticut,United States,https://aqicn.org/city/usa/connecticut/new-haven-criscuolo-park/,without SO2
Baton Rouge,Louisiana,United States,https://aqicn.org/city/usa/louisiana/baton-rouge-capitol-site/,
Beltsville,Maryland,United States,https://aqicn.org/city/usa/maryland/hu-beltsville/,"without SO2, PM10"
Duval,Florida,United States,https://aqicn.org/city/usa/florida/duval/mayo-clinic/,
Ohio,Ohio,United States,https://aqicn.org/city/usa/ohio/taft/,
South Dekalb,Georgia,United States,https://aqicn.org/city/georgia/south-dekalb/,without SO2
CETESB,State of Sao Paulo,Brazil,https://aqicn.org/city/brazil/sao-paulo/itaim-paulista/,
Community of Madrid,Community of Madrid,Spain,https://aqicn.org/city/madrid/,
Barcelona,Catalonia,Spain,https://aqicn.org/city/spain/catalunya/barcelona-eixample/,without CO
Asturias,Castile and Leon,Spain,https://aqicn.org/city/spain/asturias/castilla/,
Erandio,Basque Country,Spain,https://aqicn.org/city/spain/pais-vasco/erandio/,
Laza,Galicia,Spain,https://aqicn.org/city/spain/galicia/laza/,
Tudela,Navarre,Spain,https://aqicn.org/city/spain/navarra/tudela/,
San Agustin,Canary Islands,Spain,https://aqicn.org/city/spain/canarias/san-agustin/,
Merate,Lombardy,Italy,https://aqicn.org/city/italy/lombardia/merate-/,
Timavo,Emilia-Romagna,Italy,https://aqicn.org/city/italy/emilia-romagna/timavo/,without SO2
Malagrotta,Lazio,Italy,https://aqicn.org/city/italy/lazio/roma/malagrotta/,without CO
Laives,South Tyrol,Italy,https://aqicn.org/city/italy/bolzano-alto-adige/laives-leifers/,without CO
Limburg,Hesse,Germany,https://aqicn.org/city/germany/hesse/limburg/,without CO
Nauen,Brandenburg,Germany,https://aqicn.org/city/germany/brandenburg/nauen/,
Konstanz,Baden-Wurttemberg,Germany,https://aqicn.org/city/germany/badenwurttemberg/konstanz/,"without CO, SO2"
Berlin,Berlin,Germany,https://aqicn.org/city/germany/berlin/,"without CO,SO2,PM2.5"
Silivri,Istanbul,Turkey,https://aqicn.org/city/turkey/istanbul/silivri/mthm/,
Sihhiye,Ankara,Turkey,https://aqicn.org/city/turkey/ic-anadolu/ankara/sihhiye/,
Zhaojiaba,Hubei,Mainland China,https://aqicn.org/city/hubei/ezhou/zhaojiaba/,
Beijing,Beijing,Mainland China,https://aqicn.org/city/beijing/,
Chatham,Ontario,Canada,https://aqicn.org/city/canada/ontario/chatham/,"without CO,SO2,PM10"
Merced,Mexico City,Mexico,https://aqicn.org/city/mexico/mexico/merced/,
