,Ciudad,Pais,PM25,PM10,O3,NO2,CO,Fecha
0,Hubei,Mainland China,193.0,80.0,80.0,21.0,11.0,2018-01-01
1,Hubei,Mainland China,159.0,81.0,81.0,25.0,12.0,2018-01-02
2,Hubei,Mainland China,163.0,38.0,38.0,15.0,12.0,2018-01-03
3,Hubei,Mainland China,152.0,,,10.0,7.0,2018-01-04
4,Hubei,Mainland China,99.0,,,15.0,10.0,2018-01-05
5,Hubei,Mainland China,163.0,,,12.0,8.0,2018-01-06
6,Hubei,Mainland China,156.0,,,14.0,15.0,2018-01-07
7,Hubei,Mainland China,180.0,56.0,56.0,21.0,15.0,2018-01-08
8,Hubei,Mainland China,176.0,45.0,45.0,14.0,7.0,2018-01-09
9,Hubei,Mainland China,127.0,71.0,71.0,24.0,11.0,2018-01-10
10,Hubei,Mainland China,150.0,52.0,52.0,20.0,8.0,2018-01-11
11,Hubei,Mainland China,111.0,55.0,55.0,20.0,8.0,2018-01-12
12,Hubei,Mainland China,140.0,53.0,53.0,18.0,8.0,2018-01-13
13,Hubei,Mainland China,143.0,58.0,58.0,21.0,10.0,2018-01-14
14,Hubei,Mainland China,140.0,62.0,62.0,23.0,10.0,2018-01-15
15,Hubei,Mainland China,156.0,79.0,79.0,23.0,15.0,2018-01-16
16,Hubei,Mainland China,178.0,88.0,88.0,23.0,14.0,2018-01-17
17,Hubei,Mainland China,185.0,97.0,97.0,21.0,13.0,2018-01-18
18,Hubei,Mainland China,186.0,96.0,96.0,17.0,17.0,2018-01-19
19,Hubei,Mainland China,194.0,98.0,98.0,20.0,18.0,2018-01-20
20,Hubei,Mainland China,193.0,86.0,86.0,21.0,19.0,2018-01-21
21,Hubei,Mainland China,174.0,64.0,64.0,18.0,14.0,2018-01-22
22,Hubei,Mainland China,161.0,76.0,76.0,18.0,15.0,2018-01-23
23,Hubei,Mainland China,170.0,47.0,47.0,13.0,10.0,2018-01-24
24,Hubei,Mainland China,144.0,31.0,31.0,9.0,8.0,2018-01-25
