Ciudad,Pais,Casos,Muertes
New York,United States,359926.0,23282.0
New Jersey,United States,153104.0,11081.0
Illinois,United States,107796.0,4790.0
Massachusetts,United States,91662.0,6304.0
California,United States,90631.0,3708.0
Pennsylvania,United States,66983.0,5096.0
Texas,United States,54509.0,1506.0
Michigan,United States,54365.0,5223.0
Florida,United States,50127.0,2233.0
Maryland,United States,45495.0,2130.0
Georgia,United States,42800.0,1823.0
Connecticut,United States,40022.0,3675.0
Louisiana,United States,37040.0,2560.0
Virginia,United States,36244.0,1171.0
Ohio,United States,31408.0,1956.0
Indiana,United States,30901.0,1812.0
Colorado,United States,23964.0,1327.0
North Carolina,United States,22725.0,737.0
Minnesota,United States,19845.0,852.0
Tennessee,United States,19789.0,329.0
Washington,United States,19585.0,1055.0
Iowa,United States,17213.0,449.0
Arizona,United States,16339.0,800.0
Wisconsin,United States,14877.0,507.0
Alabama,United States,14152.0,551.0
Rhode Island,United States,13952.0,597.0
Mississippi,United States,13005.0,616.0
Nebraska,United States,11989.0,147.0
Missouri,United States,11752.0,676.0
South Carolina,United States,9895.0,425.0
Kansas,United States,8958.0,185.0
Delaware,United States,8690.0,324.0
Kentucky,United States,8571.0,391.0
Utah,United States,8260.0,97.0
"Washington, D.C.",United States,7966.0,427.0
Nevada,United States,7696.0,392.0
New Mexico,United States,6795.0,308.0
Oklahoma,United States,5960.0,311.0
Arkansas,United States,5775.0,115.0
South Dakota,United States,4468.0,50.0
Buenos Aires,Argentina,6146.0,185.0
Buenos Aires Province,Argentina,3864.0,185.0
Chaco Province,Argentina,748.0,42.0
Cordoba,Argentina,454.0,28.0
Rio Negro,Argentina,347.0,17.0
Santa Fe Province,Argentina,258.0,3.0
Tierra del Fuego Province,Argentina,135.0,
Neuquen,Argentina,115.0,5.0
Mendoza Province,Argentina,83.0,9.0
Corrientes,Argentina,78.0,
La Rioja Province,Argentina,63.0,7.0
Santa Cruz Province,Argentina,49.0,
Tucuman,Argentina,46.0,4.0
Entre Rios,Argentina,29.0,
Misiones Province,Argentina,25.0,1.0
Santiago del Estero Province,Argentina,21.0,
San Luis Province,Argentina,10.0,
Salta Province,Argentina,7.0,
Jujuy,Argentina,5.0,
La Pampa,Argentina,5.0,
Chubut Province,Argentina,4.0,
San Juan Province,Argentina,4.0,
Formosa Province,Argentina,0.0,0.0
Catamarca Province,Argentina,0.0,0.0
Tokyo,Japan,5138.0,271.0
Osaka,Japan,1781.0,78.0
Kanagawa,Japan,1325.0,75.0
Hokkaido,Japan,1039.0,79.0
Saitama,Japan,996.0,46.0
Chiba,Japan,898.0,44.0
Hyogo,Japan,699.0,40.0
Fukuoka,Japan,662.0,25.0
Aichi,Japan,510.0,34.0
Kyoto,Japan,358.0,14.0
Ishikawa,Japan,295.0,24.0
Toyama,Japan,227.0,21.0
Ibaraki,Japan,168.0,9.0
Hiroshima,Japan,167.0,2.0
Gifu,Japan,150.0,7.0
Gunma,Japan,149.0,19.0
Okinawa,Japan,142.0,6.0
Fukui,Japan,122.0,8.0
Shiga,Japan,100.0,1.0
Nara,Japan,91.0,2.0
Miyagi,Japan,88.0,1.0
Niigata,Japan,82.0,
Fukushima,Japan,81.0,
Ehime,Japan,79.0,4.0
Nagano,Japan,76.0,
Shizuoka,Japan,74.0,1.0
Kochi,Japan,74.0,3.0
Yamagata,Japan,69.0,
Tochigi,Japan,64.0,
Wakayama,Japan,63.0,3.0
Yamanashi,Japan,60.0,
Oita,Japan,60.0,1.0
Kumamoto,Japan,48.0,3.0
Saga,Japan,47.0,
Mie,Japan,45.0,1.0
Yamaguchi,Japan,37.0,
Kagawa,Japan,28.0,
Aomori,Japan,27.0,1.0
Okayama,Japan,25.0,
Shimane,Japan,24.0,
,Australia,7109.0,102.0
Lombardy,Italy,86384.0,15786.0
Piedmont,Italy,30089.0,3757.0
Emilia-Romagna,Italy,27470.0,4037.0
Veneto,Italy,19059.0,1844.0
Tuscany,Italy,10035.0,1009.0
Liguria,Italy,9409.0,1407.0
Lazio,Italy,7589.0,669.0
Marche,Italy,6700.0,990.0
Campania,Italy,4733.0,404.0
Apulia,Italy,4440.0,482.0
Trentino,Italy,4388.0,455.0
Sicily,Italy,3423.0,268.0
Friuli-Venezia Giulia,Italy,3227.0,325.0
Abruzzo,Italy,3220.0,394.0
South Tyrol,Italy,2590.0,291.0
Umbria,Italy,1429.0,74.0
Sardinia,Italy,1358.0,128.0
Aosta,Italy,1177.0,144.0
Calabria,Italy,1175.0,96.0
Molise,Italy,426.0,22.0
Basilicata,Italy,411.0,27.0
,Bangladesh,33610.0,480.0
South Holland,Netherlands,9408.0,
North Brabant,Netherlands,8692.0,
North Holland,Netherlands,6447.0,
Gelderland,Netherlands,5574.0,
Limburg,Netherlands,4534.0,
Utrecht,Netherlands,3354.0,
Overijssel,Netherlands,2911.0,
Flevoland,Netherlands,882.0,
Zeeland,Netherlands,640.0,
Friesland,Netherlands,598.0,
Drenthe,Netherlands,499.0,
Groningen,Netherlands,344.0,
Lima Region,Peru,74037.0,
Callao Region,Peru,8125.0,
Lambayeque,Peru,5836.0,
Piura,Peru,3812.0,
Loreto,Peru,3293.0,
La Libertad,Peru,2793.0,
Ucayali,Peru,2775.0,
Ancash,Peru,2722.0,
Arequipa,Peru,2373.0,
Ica,Peru,1863.0,
Junin,Peru,1375.0,
Tumbes,Peru,1032.0,
San Martin,Peru,938.0,
Cusco,Peru,793.0,
Huanuco,Peru,629.0,
Cajamarca,Peru,520.0,
Ayacucho,Peru,498.0,
Amazonas,Peru,437.0,
Moquegua,Peru,345.0,
Huancavelica,Peru,306.0,
Madre de Dios,Peru,304.0,
Tacna,Peru,291.0,
Pasco,Peru,288.0,
Puno,Peru,247.0,
Apurimac,Peru,122.0,
Hubei,Mainland China,67803.0,3212.0
Guangdong Province,Mainland China,1532.0,8.0
Henan,Mainland China,1276.0,22.0
Zhejiang,Mainland China,1264.0,1.0
Hunan,Mainland China,1019.0,4.0
Anhui,Mainland China,990.0,6.0
Jiangxi,Mainland China,937.0,1.0
Shandong,Mainland China,780.0,7.0
Jiangsu,Mainland China,651.0,0.0
Beijing,Mainland China,587.0,8.0
Chongqing,Mainland China,579.0,6.0
Sichuan,Mainland China,559.0,3.0
Shanghai,Mainland China,536.0,6.0
Heilongjiang,Mainland China,524.0,13.0
Fujian,Mainland China,350.0,1.0
Hebei,Mainland China,327.0,6.0
Shaanxi,Mainland China,256.0,3.0
Guangxi,Mainland China,254.0,2.0
Yunnan,Mainland China,184.0,2.0
Tianjin,Mainland China,180.0,3.0
Hainan,Mainland China,168.0,6.0
Guizhou,Mainland China,147.0,2.0
Liaoning,Mainland China,142.0,2.0
Gansu,Mainland China,139.0,2.0
Shanxi,Mainland China,138.0,0.0
Inner Mongolia,Mainland China,118.0,1.0
Jilin,Mainland China,98.0,1.0
Xinjiang,Mainland China,76.0,3.0
Ningxia,Mainland China,75.0,0.0
Qinghai,Mainland China,18.0,0.0
Tibet,Mainland China,1.0,0.0
Guayas,Ecuador,13787.0,1362.0
Pichincha,Ecuador,3405.0,256.0
Manabi Province,Ecuador,1895.0,375.0
Los Rios Province,Ecuador,1379.0,180.0
El Oro,Ecuador,1025.0,164.0
Santo Domingo de los Tsachilas Province,Ecuador,800.0,63.0
Azuay,Ecuador,797.0,33.0
Santa Elena Province,Ecuador,733.0,277.0
Esmeraldas Province,Ecuador,640.0,71.0
Chimborazo Province,Ecuador,368.0,100.0
Loja,Ecuador,334.0,20.0
Cotopaxi Province,Ecuador,329.0,46.0
Canar Province,Ecuador,306.0,29.0
Bolivar Province,Ecuador,298.0,22.0
Pastaza Province,Ecuador,195.0,5.0
Imbabura Province,Ecuador,190.0,12.0
Provincia de Napo,Ecuador,166.0,10.0
Orellana Province,Ecuador,163.0,4.0
Zamora-Chinchipe Province,Ecuador,149.0,4.0
Carchi Province,Ecuador,137.0,9.0
Sucumbios Province,Ecuador,97.0,3.0
Morona-Santiago Province,Ecuador,92.0,2.0
Galapagos Islands,Ecuador,76.0,1.0
Tungurahua,Ecuador,,60.0
Silesian Voivodeship,Poland,6982.0,191.0
Masovian Voivodeship,Poland,3217.0,246.0
Lower Silesian Voivodeship,Poland,2418.0,96.0
Greater Poland Voivodeship,Poland,2055.0,144.0
odz Voivodeship,Poland,1347.0,59.0
Lesser Poland Voivodeship,Poland,1176.0,41.0
Opole Voivodeship,Poland,593.0,45.0
Kuyavian-Pomeranian Voivodeship,Poland,593.0,45.0
Pomeranian Voivodeship,Poland,533.0,30.0
West Pomeranian Voivodeship,Poland,522.0,19.0
Lublin Voivodeship,Poland,434.0,15.0
Podlaskie Voivodeship,Poland,419.0,9.0
Swietokrzyskie,Poland,382.0,20.0
Podkarpackie Voivodeship,Poland,378.0,35.0
Warmian-Masurian Voivodeship,Poland,175.0,1.0
Lubusz Voivodeship,Poland,103.0,
,Pakistan,54601.0,1133.0
