Ciudad,Pais,Casos,Muertes
New York,United States,"359,926","23,282"
New Jersey,United States,"153,104","11,081"
Illinois,United States,"107,796","4,790"
Massachusetts,United States,"91,662","6,304"
California,United States,"90,631","3,708"
Pennsylvania,United States,"66,983","5,096"
Texas,United States,"54,509","1,506"
Michigan,United States,"54,365","5,223"
Florida,United States,"50,127","2,233"
Maryland,United States,"45,495","2,130"
Georgia,United States,"42,800","1,823"
Connecticut,United States,"40,022","3,675"
Louisiana,United States,"37,040","2,560"
Virginia,United States,"36,244","1,171"
Ohio,United States,"31,408","1,956"
Indiana,United States,"30,901","1,812"
Colorado,United States,"23,964","1,327"
North Carolina,United States,"22,725",737
Minnesota,United States,"19,845",852
Tennessee,United States,"19,789",329
Washington,United States,"19,585","1,055"
Iowa,United States,"17,213",449
Arizona,United States,"16,339",800
Wisconsin,United States,"14,877",507
Alabama,United States,"14,152",551
Rhode Island,United States,"13,952",597
Mississippi,United States,"13,005",616
Nebraska,United States,"11,989",147
Missouri,United States,"11,752",676
South Carolina,United States,"9,895",425
Kansas,United States,"8,958",185
Delaware,United States,"8,690",324
Kentucky,United States,"8,571",391
Utah,United States,"8,260",97
"Washington, D.C.",United States,"7,966",427
Nevada,United States,"7,696",392
New Mexico,United States,"6,795",308
Oklahoma,United States,"5,960",311
Arkansas,United States,"5,775",115
South Dakota,United States,"4,468",50
Buenos Aires,Argentina,"6,146",185
Buenos Aires Province,Argentina,"3,864",185
Chaco Province,Argentina,748,42
Cordoba,Argentina,454,28
Rio Negro,Argentina,347,17
Santa Fe Province,Argentina,258,3
Tierra del Fuego Province,Argentina,135,—
Neuquen,Argentina,115,5
Mendoza Province,Argentina,83,9
Corrientes,Argentina,78,—
La Rioja Province,Argentina,63,7
Santa Cruz Province,Argentina,49,—
Tucuman,Argentina,46,4
Entre Rios,Argentina,29,—
Misiones Province,Argentina,25,1
Santiago del Estero Province,Argentina,21,—
San Luis Province,Argentina,10,—
Salta Province,Argentina,7,—
Jujuy,Argentina,5,—
La Pampa,Argentina,5,—
Chubut Province,Argentina,4,—
San Juan Province,Argentina,4,—
Formosa Province,Argentina,0,0
Catamarca Province,Argentina,0,0
Tokyo,Japan,"5,138",271
Osaka,Japan,"1,781",78
Kanagawa,Japan,"1,325",75
Hokkaido,Japan,"1,039",79
Saitama,Japan,996,46
Chiba,Japan,898,44
Hyogo,Japan,699,40
Fukuoka,Japan,662,25
Aichi,Japan,510,34
Kyoto,Japan,358,14
Ishikawa,Japan,295,24
Toyama,Japan,227,21
Ibaraki,Japan,168,9
Hiroshima,Japan,167,2
Gifu,Japan,150,7
Gunma,Japan,149,19
Okinawa,Japan,142,6
Fukui,Japan,122,8
Shiga,Japan,100,1
Nara,Japan,91,2
Miyagi,Japan,88,1
Niigata,Japan,82,—
Fukushima,Japan,81,—
Ehime,Japan,79,4
Nagano,Japan,76,—
Shizuoka,Japan,74,1
Kochi,Japan,74,3
Yamagata,Japan,69,—
Tochigi,Japan,64,—
Wakayama,Japan,63,3
Yamanashi,Japan,60,—
Oita,Japan,60,1
Kumamoto,Japan,48,3
Saga,Japan,47,—
Mie,Japan,45,1
Yamaguchi,Japan,37,—
Kagawa,Japan,28,—
Aomori,Japan,27,1
Okayama,Japan,25,—
Shimane,Japan,24,—
-,Australia,"7,109",102
Lombardy,Italy,"86,384","15,786"
Piedmont,Italy,"30,089","3,757"
Emilia-Romagna,Italy,"27,470","4,037"
Veneto,Italy,"19,059","1,844"
Tuscany,Italy,"10,035","1,009"
Liguria,Italy,"9,409","1,407"
Lazio,Italy,"7,589",669
Marche,Italy,"6,700",990
Campania,Italy,"4,733",404
Apulia,Italy,"4,440",482
Trentino,Italy,"4,388",455
Sicily,Italy,"3,423",268
Friuli-Venezia Giulia,Italy,"3,227",325
Abruzzo,Italy,"3,220",394
South Tyrol,Italy,"2,590",291
Umbria,Italy,"1,429",74
Sardinia,Italy,"1,358",128
Aosta,Italy,"1,177",144
Calabria,Italy,"1,175",96
Molise,Italy,426,22
Basilicata,Italy,411,27
-,Bangladesh,"33,610",480
South Holland,Netherlands,"9,408",—
North Brabant,Netherlands,"8,692",—
North Holland,Netherlands,"6,447",—
Gelderland,Netherlands,"5,574",—
Limburg,Netherlands,"4,534",—
Utrecht,Netherlands,"3,354",—
Overijssel,Netherlands,"2,911",—
Flevoland,Netherlands,882,—
Zeeland,Netherlands,640,—
Friesland,Netherlands,598,—
Drenthe,Netherlands,499,—
Groningen,Netherlands,344,—
Lima Region,Peru,"74,037",—
Callao Region,Peru,"8,125",—
Lambayeque,Peru,"5,836",—
Piura,Peru,"3,812",—
Loreto,Peru,"3,293",—
La Libertad,Peru,"2,793",—
Ucayali,Peru,"2,775",—
Ancash,Peru,"2,722",—
Arequipa,Peru,"2,373",—
Ica,Peru,"1,863",—
Junin,Peru,"1,375",—
Tumbes,Peru,"1,032",—
San Martin,Peru,938,—
Cusco,Peru,793,—
Huanuco,Peru,629,—
Cajamarca,Peru,520,—
Ayacucho,Peru,498,—
Amazonas,Peru,437,—
Moquegua,Peru,345,—
Huancavelica,Peru,306,—
Madre de Dios,Peru,304,—
Tacna,Peru,291,—
Pasco,Peru,288,—
Puno,Peru,247,—
Apurimac,Peru,122,—
Hubei,Mainland China,"67,803","3,212"
Guangdong Province,Mainland China,"1,532",8
Henan,Mainland China,"1,276",22
Zhejiang,Mainland China,"1,264",1
Hunan,Mainland China,"1,019",4
Anhui,Mainland China,990,6
Jiangxi,Mainland China,937,1
Shandong,Mainland China,780,7
Jiangsu,Mainland China,651,0
Beijing,Mainland China,587,8
Chongqing,Mainland China,579,6
Sichuan,Mainland China,559,3
Shanghai,Mainland China,536,6
Heilongjiang,Mainland China,524,13
Fujian,Mainland China,350,1
Hebei,Mainland China,327,6
Shaanxi,Mainland China,256,3
Guangxi,Mainland China,254,2
Yunnan,Mainland China,184,2
Tianjin,Mainland China,180,3
Hainan,Mainland China,168,6
Guizhou,Mainland China,147,2
Liaoning,Mainland China,142,2
Gansu,Mainland China,139,2
Shanxi,Mainland China,138,0
Inner Mongolia,Mainland China,118,1
Jilin,Mainland China,98,1
Xinjiang,Mainland China,76,3
Ningxia,Mainland China,75,0
Qinghai,Mainland China,18,0
Tibet,Mainland China,1,0
Guayas,Ecuador,"13,787","1,362"
Pichincha,Ecuador,"3,405",256
Manabi Province,Ecuador,"1,895",375
Los Rios Province,Ecuador,"1,379",180
El Oro,Ecuador,"1,025",164
Santo Domingo de los Tsachilas Province,Ecuador,800,63
Azuay,Ecuador,797,33
Santa Elena Province,Ecuador,733,277
Esmeraldas Province,Ecuador,640,71
Chimborazo Province,Ecuador,368,100
Loja,Ecuador,334,20
Cotopaxi Province,Ecuador,329,46
Canar Province,Ecuador,306,29
Bolivar Province,Ecuador,298,22
Pastaza Province,Ecuador,195,5
Imbabura Province,Ecuador,190,12
Provincia de Napo,Ecuador,166,10
Orellana Province,Ecuador,163,4
Zamora-Chinchipe Province,Ecuador,149,4
Carchi Province,Ecuador,137,9
Sucumbios Province,Ecuador,97,3
Morona-Santiago Province,Ecuador,92,2
Galapagos Islands,Ecuador,76,1
Tungurahua,Ecuador,—,60
Silesian Voivodeship,Poland,"6,982",191
Masovian Voivodeship,Poland,"3,217",246
